case,cores,status,seconds,single,makespan,speedup,selected,plan,error
case_001,2,ok,3.1477808952331543,233110,116868,1.9946435294520313,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_001_2core.json,
case_002,2,ok,33.7105131149292,261945,138549,1.890630751575255,reassign_0.1+task_sa_b0.02,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_002_2core.json,
case_003,2,ok,420.5098717212677,602212,371987,1.6189060370389288,level_aggressive_160_20,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_003_2core.json,
case_004,2,ok,4.206424236297607,392357,199074,1.9709103147573264,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_004_2core.json,
case_005,2,ok,75.98811507225037,95618,73246,1.305436474346722,r4_gate025_pack12_reassign_a01,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_005_2core.json,
case_006,2,ok,6.4008684158325195,82837,42131,1.966176924354988,r4_struct_edgegsa_from_r4_gate025_pack12_reassign_a01+r1_edgegsa_b0.1,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_006_2core.json,
case_007,2,ok,34.280433893203735,1012562,507494,1.9952196479170197,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_007_2core.json,
case_008,2,ok,5.207385540008545,487605,244266,1.9962049568912579,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_008_2core.json,
case_009,2,ok,126.32176375389099,153261,92198,1.66230286991041,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_009_2core.json,
case_010,2,ok,6.315128326416016,86969,45272,1.9210328679978794,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_010_2core.json,
case_011,2,ok,5.071974277496338,184697,92646,1.9935777043801135,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_011_2core.json,
case_012,2,ok,10.965108394622803,59088,30094,1.9634478633614674,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_012_2core.json,
case_013,2,ok,20.585357427597046,263949,132198,1.9966187083011846,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_013_2core.json,
case_014,2,ok,9428.588793516159,17698626,8714185,2.031013342039445,r4_struct_edgegsa_from_r4_gate025_pack30_reassign_a01+r1_edgegsa_b0.1,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_014_2core.json,
case_015,2,ok,13.48570442199707,177362,90823,1.9528313312707133,r1_slackpack_aggressive_160_20+r1_edgegsa_b0,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_015_2core.json,
case_016,2,ok,517.5491914749146,7715523,5187530,1.4873211335645289,level_strong_1024_8,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_016_2core.json,
case_017,2,ok,17.334336042404175,162810,80744,2.016372733577727,r4_struct_edgegsa_from_r4_gate025_pack20_reassign_a0+r1_edgegsa_b0.1,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_017_2core.json,
case_018,2,ok,89.31260752677917,1004367,498153,2.016181775478618,r1_slackpack_aggressive_160_20+r1_edgegsa_b0,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_018_2core.json,
case_019,2,ok,8.175170421600342,81144,41810,1.940779717770868,reassign_0.1,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_019_2core.json,
case_020,2,ok,64.35429263114929,532746,266580,1.9984469952734638,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_020_2core.json,
case_021,2,ok,101.4227340221405,6567937,3100548,2.118314891432095,clusterphase_strong_128_0.1,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_021_2core.json,
case_022,2,ok,17.870117902755737,56780,28333,2.004023576747962,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_022_2core.json,
case_023,2,ok,16.37097978591919,122614,58568,2.0935323043300094,level_aggressive_160_20+task_sa_b0.02+task_gsa_b0,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_023_2core.json,
case_024,2,ok,78.06657481193542,2555343,1719530,1.4860706123184824,level_strong_1024_8,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_024_2core.json,
