case,cores,status,seconds,single,makespan,speedup,added_copy_bytes,used_cores,official_evaluations,selected,plan,error
case_001,2,ok,0.18576335906982422,233110.0,116868,1.9946435294520313,1152,2,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_001_2core.json,
case_001,3,ok,0.17910432815551758,233110.0,78545,2.9678528232223567,2304,3,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_001_3core.json,
case_001,4,ok,0.1596078872680664,233110.0,58984,3.952088702020887,3456,4,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_001_4core.json,
case_001,5,ok,0.15648818016052246,233110.0,47502,4.9073723211654245,4608,5,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_001_5core.json,
case_002,2,ok,0.41304731369018555,261945.0,138549,1.890630751575255,608256,2,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_002_2core.json,
case_002,3,ok,0.414811372756958,261945.0,94580,2.7695601607105096,608256,3,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_002_3core.json,
case_002,4,ok,0.40307068824768066,261945.0,74231,3.5287817758079507,608256,4,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_002_4core.json,
case_002,5,ok,0.3989849090576172,261945.0,60598,4.322667414766164,608256,5,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_002_5core.json,
case_003,2,ok,5.357322931289673,602212.0,371987,1.6189060370389288,7819412,2,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_003_2core.json,
case_003,3,ok,5.438554763793945,602212.0,261921,2.2992123579247177,7597876,3,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_003_3core.json,
case_003,4,ok,5.499067068099976,602212.0,214613,2.806036912954947,7597876,4,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_003_4core.json,
case_003,5,ok,5.775149822235107,602212.0,186695,3.225646107287287,7597876,5,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_003_5core.json,
case_004,2,ok,0.19408845901489258,392357.0,199074,1.9709103147573264,110592,2,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_004_2core.json,
case_004,3,ok,0.20745015144348145,392357.0,134043,2.927098020784375,221184,3,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_004_3core.json,
case_004,4,ok,0.19701862335205078,392357.0,104188,3.765855952700887,331776,4,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_004_4core.json,
case_004,5,ok,0.16205692291259766,392357.0,88341,4.441391879195391,442368,5,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_004_5core.json,
case_005,2,ok,3.244356870651245,95618.0,73246,1.305436474346722,2042150,2,3,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_005_2core.json,
case_005,3,ok,3.289242744445801,95618.0,58418,1.6367900304700607,2042150,3,3,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_005_3core.json,
case_005,4,ok,2.412726879119873,95618.0,50485,1.893988313360404,2042150,4,2,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_005_4core.json,
case_005,5,ok,3.5129897594451904,95618.0,49976,1.9132783736193373,2028130,5,3,v14_communication,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_005_5core.json,
case_006,2,ok,0.25951480865478516,82837.0,42131,1.966176924354988,91264,2,2,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_006_2core.json,
case_006,3,ok,0.27675771713256836,82837.0,29395,2.81806429664909,222344,3,2,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_006_3core.json,
case_006,4,ok,0.28455066680908203,82837.0,23834,3.4755811026264998,271500,4,2,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_006_4core.json,
case_006,5,ok,0.2858572006225586,82837.0,24019,3.448811357675174,271516,5,2,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_006_5core.json,
case_007,2,ok,1.9242019653320312,1012562.0,507494,1.9952196479170197,27648,2,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_007_2core.json,
case_007,3,ok,1.1734144687652588,1012562.0,338094,2.994912657426633,55296,3,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_007_3core.json,
case_007,4,ok,0.9940462112426758,1012562.0,254398,3.980227831979811,82944,4,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_007_4core.json,
case_007,5,ok,0.896683931350708,1012562.0,203834,4.967581463347626,110592,5,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_007_5core.json,
case_008,2,ok,0.2824971675872803,487605.0,244266,1.9962049568912579,0,2,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_008_2core.json,
case_008,3,ok,0.24836969375610352,487605.0,163359,2.984867684057811,0,3,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_008_3core.json,
case_008,4,ok,0.23150634765625,487605.0,123060,3.962335446123842,0,4,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_008_4core.json,
case_008,5,ok,0.22424530982971191,487605.0,100603,4.846823653370178,0,5,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_008_5core.json,
case_009,2,ok,4.4039435386657715,153261.0,92198,1.66230286991041,0,2,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_009_2core.json,
case_009,3,ok,3.330594778060913,153261.0,65962,2.323474121463873,961350,3,3,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_009_3core.json,
case_009,4,ok,3.498584032058716,153261.0,55640,2.754511143062545,961350,4,3,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_009_4core.json,
case_009,5,ok,3.6732544898986816,153261.0,48343,3.170283184742362,961350,5,3,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_009_5core.json,
case_010,2,ok,0.185805082321167,86969.0,45272,1.9210328679978794,48384,2,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_010_2core.json,
case_010,3,ok,0.20601367950439453,86969.0,30856,2.8185442053409386,48384,3,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_010_3core.json,
case_010,4,ok,0.2645883560180664,86969.0,26214,3.317654688334478,528392,4,2,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_010_4core.json,
case_010,5,ok,0.4432790279388428,86969.0,24978,3.4818240051245097,556150,5,3,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_010_5core.json,
case_011,2,ok,0.19423747062683105,184697.0,92646,1.9935777043801135,180224,2,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_011_2core.json,
case_011,3,ok,0.34679198265075684,184697.0,68138,2.710631365757727,1343488,3,2,v14_conservative,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_011_3core.json,
