case,cores,status,seconds,selected,single,makespan,speedup,added_copy,subgraphs,error
case_001,2,ok,1.516106834,wcc_pack3,233110,116868,1.9946435294520313,1152,2,
case_001,3,ok,7.017295415999996,wcc_pack3,233110,78545,2.9678528232223567,2304,3,
case_001,4,ok,3.3926892499999894,wcc_pack3,233110,58984,3.952088702020887,3456,4,
case_001,5,ok,3.424330291999979,wcc_pack3,233110,47502,4.9073723211654245,4608,5,
case_002,2,ok,7.462008125,"slack_safe12+merge(29,32)",261945,138034,1.8976846284248807,365568,33,
case_002,3,ok,32.40594520899998,"slack_safe12+reassign0.1+merge(28,31)",261945,93476,2.8022701014164064,365568,33,
case_002,4,ok,13.118254916000012,slack_safe12,261945,71289,3.6744097967428355,368640,34,
case_002,5,ok,16.29068745799998,strong_b10,261945,60471,4.331745795505284,608256,38,
case_004,2,ok,1.921810708,wcc_pack3,392357,199074,1.9709103147573264,110592,2,
case_004,3,ok,7.2220609999999965,wcc_pack3,392357,134043,2.927098020784375,221184,3,
case_004,4,ok,4.347336624999997,wcc_pack3,392357,104188,3.765855952700887,331776,4,
case_004,5,ok,4.159389665999981,wcc_pack3,392357,88341,4.441391879195391,442368,5,
case_005,2,ok,30.715397708,"aggr_fine15+reassign1+reassign2+merge(1,11)",95618,74247,1.2878365455843335,2137790,101,
case_005,3,ok,145.578916083,"aggr_dense6k+merge(134,143)+merge(59,75)",95618,62301,1.5347747227171313,2395112,208,
case_005,4,ok,65.06643424999999,aggr_fine15+reassign0.1,95618,59337,1.6114397424878237,2352772,164,
case_005,5,ok,85.60156404099996,slack_safe12,95618,59620,1.6037906742703791,1879124,351,
case_006,2,ok,1.694916209,aggr_fine15,82837,41200,2.010606796116505,181896,7,
case_006,3,ok,7.8291994159999945,aggr_fine15,82837,30355,2.7289408664140997,208520,10,
case_006,4,ok,4.186889291,aggr_ultrafine20+reassign0.1,82837,24235,3.418073034866928,261132,17,
case_006,5,ok,5.608607333000009,aggr_fine15,82837,24116,3.434939459280146,261132,16,
case_008,2,ok,2.6567170420000004,wcc_pack3,487605,244266,1.9962049568912579,0,2,
case_008,3,ok,10.521061540999995,wcc_pack3,487605,163359,2.984867684057811,0,3,
case_008,4,ok,5.3721824579999975,wcc_pack3,487605,123060,3.962335446123842,0,4,
case_008,5,ok,7.1087301249999655,wcc_pack3,487605,100603,4.846823653370178,0,5,
case_010,2,ok,1.5948110000000004,corephase_sticky+reassign0.1,86969,44010,1.9761190638491253,463016,4,
case_010,3,ok,7.1741495829999735,wcc_pack3,86969,30856,2.8185442053409386,48384,3,
case_010,4,ok,4.199304708,aggr_mixed4k,86969,25828,3.367237107015642,538760,17,
case_010,5,ok,4.916881999999987,aggr_mid12,86969,24009,3.6223499521012954,555386,52,
case_011,2,ok,1.9664855,wcc_pack3,184697,92646,1.9935777043801135,180224,2,
case_011,3,ok,13.962064333,"strong_long8+merge(1,9)+merge(7,14)",184697,66299,2.7858187906303264,1130496,22,
case_011,4,ok,5.2071761249999895,wcc_pack3,184697,46880,3.9397824232081913,540672,4,
case_011,5,ok,6.488513624999996,strong_compact12,184697,44642,4.137292236010931,1523712,36,
case_012,2,ok,3.2100494999999993,wcc_pack3,59088,30094,1.9634478633614674,28800,2,
case_012,3,ok,12.802471541999978,aggr_ultrafine20,59088,20812,2.839131270420911,87944,13,
case_012,4,ok,7.355958749999985,aggr_fine15+reassign0.1,59088,16305,3.6239190432382706,87944,13,
case_012,5,ok,10.733600333000027,wcc_pack3,59088,14225,4.153813708260105,49536,5,
case_013,2,ok,11.810730125000003,wcc_pack3,263949,132198,1.9966187083011846,8192,2,
case_013,3,ok,38.665169375000005,wcc_pack3,263949,88351,2.98750438591527,16384,3,
case_013,4,ok,18.834636417000013,wcc_pack3,263949,66982,3.9405959810098237,24576,4,
case_013,5,ok,24.801065291999976,wcc_pack3,263949,54363,4.855305998565201,32768,5,
case_015,2,ok,3.1117299590000007,aggr_b15+reassign0.1,177362,88023,2.0149506379014577,439296,6,
case_015,3,ok,15.551451375,wcc_pack3,177362,60841,2.915172334445522,306448,3,
case_015,4,ok,7.302793750000006,aggr_dense6k,177362,50599,3.505247139271527,1038104,25,
case_015,5,ok,11.040483250000023,aggr_mixed4k,177362,42119,4.2109736698402145,823296,20,
case_017,2,ok,4.644736417000001,aggr_b15+reassign0.1,162810,82664,1.969539339978709,410112,6,
case_017,3,ok,18.691929625,aggr_b15+reassign0.1,162810,55688,2.923610113489441,584064,9,
case_017,4,ok,12.285256750000002,wcc_pack3,162810,42384,3.841308040770102,260352,4,
case_017,5,ok,15.671742917000017,aggr_b15,162810,33981,4.791206850887261,556416,15,
case_018,2,ok,19.766258666,aggr_ultrafine20,1004367,500559,2.006490743348936,7277072,10,
case_018,3,ok,110.91856941700001,"aggr_fine15+merge(4,9)",1004367,338828,2.964238492686555,7969292,10,
case_018,4,ok,39.893242791999995,aggr_ultrafine20+reassign0.1,1004367,255049,3.937937415947524,9253904,18,
case_018,5,ok,50.97828512499996,wcc_pack3,1004367,200953,4.99801943738088,4878336,5,
case_019,2,ok,2.172258542,"slack_safe12+merge(4,12)",81144,42034,1.930437265071133,223824,21,
case_019,3,ok,6.437590833000002,slack_safe12,81144,28451,2.8520614389652383,226896,22,
case_019,4,ok,3.338265624999991,slack_safe12,81144,21921,3.7016559463528123,226896,22,
case_019,5,ok,4.026467042000036,slack_safe12,81144,18291,4.436280137772675,226896,22,
case_022,2,ok,4.560007583000001,wcc_pack3,56780,28415,1.9982403660038712,6912,2,
case_022,3,ok,18.815464082999995,wcc_pack3,56780,19197,2.9577538157003698,13824,3,
case_022,4,ok,9.984448584000006,wcc_pack3,56780,14654,3.874709976798144,13824,4,
case_022,5,ok,12.17295333300001,wcc_pack3,56780,11828,4.800473452823808,20736,5,
case_023,2,ok,3.9225563750000028,"aggr_ultrafine20+reassign0.1+merge(0,8)+merge(0,8)",122614,59452,2.0624032833209984,430668,10,
case_023,3,ok,12.783804999999973,aggr_fine15,122614,39682,3.0899148228415907,440752,11,
case_023,4,ok,6.280257333000009,aggr_fine15,122614,31062,3.94739553151761,441040,14,
case_023,5,ok,8.526458750000018,wcc_pack3,122614,25191,4.867373268230717,280992,5,
case_026,2,ok,1.687619583,aggr_mid12,99203,49259,2.013906088227532,374376,13,
case_026,3,ok,7.233030084000006,wcc_pack3,99203,41655,2.3815388308726444,95664,3,
case_026,4,ok,4.886418958999997,slack_safe12,99203,39874,2.4879119225560515,868636,63,
case_026,5,ok,5.320956165999974,slack_safe12,99203,37673,2.633265203195923,868636,63,
case_027,2,ok,6.233930416,aggr_b15,2363952,1118246,2.113982075500382,4792320,6,
case_027,3,ok,36.802194708,"aggr_ultrafine20+merge(5,17)",2363952,756202,3.126085358145046,5160960,23,
case_027,4,ok,11.558214125000006,wcc_pack3,2363952,559196,4.227412213249022,3317760,4,
case_027,5,ok,12.95032495800001,strong_b10+reassign0.1,2363952,471330,5.015492330214499,7495680,60,
case_029,2,ok,2.727328709000002,wcc_pack3,37555,19740,1.9024822695035462,0,2,
case_029,3,ok,10.52910941700003,wcc_pack3,37555,12743,2.9471082162756024,0,3,
case_029,4,ok,4.93921125,wcc_pack3,37555,11028,3.405422560754443,0,4,
case_029,5,ok,5.167297540999982,wcc_pack3,37555,9383,4.002451241607162,0,5,
case_032,2,ok,2.4838410830000015,aggr_mixed4k,41443,19564,2.118329584951953,37016,9,
case_032,3,ok,9.939730166999993,aggr_b15,41443,13842,2.9940037566825604,30864,9,
case_032,4,ok,5.455795292000005,aggr_b15,41443,12296,3.37044567338972,24720,12,
case_032,5,ok,5.553651541999955,aggr_mixed4k,41443,10302,4.022811104639875,98388,22,
case_033,2,ok,82.68766283299999,"aggr_ultrafine20+merge(1,14)+merge(1,12)",1774196,880303,2.015437866280133,8669480,37,
case_033,3,ok,123.028113458,aggr_dense6k+reassign0.1,1774196,587700,3.0188803811468436,11693184,18,
case_033,4,ok,77.53783629200001,aggr_b15,1774196,447390,3.9656585976441137,10641272,44,
case_033,5,ok,83.45656420899996,aggr_b15+reassign0.1,1774196,357333,4.9651053778968075,11138936,47,
case_034,2,ok,46.972967209,aggr_dense6k,842996,397429,2.121123521434017,5720576,12,
case_034,3,ok,142.29103799999996,aggr_fine15,842996,269163,3.1319163480864756,6105600,9,
case_034,4,ok,75.673773834,aggr_fine15,842996,206156,4.089116979374842,5720576,12,
case_034,5,ok,85.372891708,aggr_ultrafine20+reassign0.1,842996,169763,4.965722801788376,5970984,25,
case_035,2,ok,39.416461625000004,wcc_pack3,169571,95406,1.7773620107750037,0,2,
case_035,3,ok,85.12130833399999,aggr_dense6k,169571,72630,2.3347239432741294,852090,82,
case_035,4,ok,48.89259687500001,aggr_fine15+reassign3,169571,56787,2.986088365294874,852226,76,
case_035,5,ok,52.70967941700002,aggr_mixed4k,169571,50420,3.3631693772312574,737440,80,
case_036,2,ok,15.653456333999998,wcc_pack3,931510,466068,1.998656848356892,1152,2,
case_036,3,ok,45.632638791999966,wcc_pack3,931510,311345,2.991890025534375,2304,3,
case_036,4,ok,21.70323725,wcc_pack3,931510,233584,3.987901568600589,3456,4,
case_036,5,ok,23.392172750000043,wcc_pack3,931510,187182,4.976493466252097,4608,5,
case_037,2,ok,2.896254083999999,wcc_pack3,210001,105374,1.992910964754114,204800,2,
case_037,3,ok,11.177365291000001,wcc_pack3,210001,74038,2.836394824279424,1064960,3,
case_037,4,ok,5.562812707999996,wcc_pack3,210001,53320,3.938503375843961,614400,4,
case_037,5,ok,7.538229541999954,wcc_pack3,210001,43800,4.794543378995434,1925120,5,
case_040,2,ok,25.355713916,aggr_fine15+reassign2,253454,141598,1.789954660376559,1618976,106,
case_040,3,ok,66.88025970900003,aggr_dense6k,253454,97965,2.5871893023018426,1799590,70,
case_040,4,ok,41.01579104200002,aggr_fine15+reassign0.1+reassign2,253454,81430,3.1125383765197103,1751040,148,
case_040,5,ok,40.05535020900004,aggr_fine15+reassign1,253454,71379,3.5508202692668713,1728204,159,
case_044,2,ok,8.245964582999996,strong_b10+reassign0.1,154407,91972,1.6788479102335494,2996768,84,
case_044,3,ok,21.61348520799993,strong_b10,154407,109879,1.4052457703473822,4857568,126,
case_044,4,ok,8.465916583000023,corephase_bal+reassign0.1,154407,113488,1.3605579444522768,4914912,8,
case_044,5,ok,8.898812665999912,wcc_active3,154407,123553,1.2497227910289512,5161216,3,
case_045,2,ok,6.575931708999995,wcc_pack3,125614,63059,1.99200748505368,0,2,
case_045,3,ok,14.549277582999991,wcc_pack3,125614,42601,2.94861622966597,0,3,
case_045,4,ok,7.271670959000005,wcc_pack3,125614,31878,3.940460505677897,0,4,
case_045,5,ok,6.992110124999954,wcc_pack3,125614,26164,4.801024308209754,0,5,
case_046,2,ok,4.236691583999999,aggr_mixed4k,276455,158876,1.7400677257735593,6512800,8,
case_046,3,ok,10.673403916999973,corephase_bal+reassign0.1,276455,140908,1.9619538989979277,4001568,6,
case_046,4,ok,5.562854208000033,wcc_pack3,276455,124612,2.218526305652746,4513952,4,
case_046,5,ok,6.246059166000009,wcc_active4,276455,124612,2.218526305652746,4513952,4,
case_048,2,ok,12.375787541999998,aggr_ultrafine20,222220,137338,1.6180518137733184,727982,53,
case_048,3,ok,31.731172625,aggr_fine15,222220,110758,2.0063562000036113,775600,153,
case_048,4,ok,21.12603754199995,aggr_fine15,222220,110842,2.0048357120946934,775796,156,
case_048,5,ok,21.97373300000004,aggr_mixed4k,222220,110840,2.004871887405269,776310,164,
case_049,2,ok,58.372425709,aggr_dense6k+reassign0.1+reassign1+reassign2,196276,120636,1.6270101793826055,1485218,125,
case_049,3,ok,73.561552459,aggr_dense6k+reassign1+reassign2+reassign3,196276,85788,2.2879190562782674,1500822,155,
