case,cores,status,seconds,selected,single,makespan,speedup,added_copy,subgraphs,error
case_002,2,ok,7.605256542,"slack_safe12+merge(29,32)",261945,138034,1.8976846284248807,365568,33,
case_002,5,ok,7.465819333999999,strong_b10,261945,60471,4.331745795505284,608256,38,
case_035,2,ok,26.027557417,wcc_pack3,169571,95406,1.7773620107750037,0,2,
case_035,5,ok,22.729454916999998,aggr_mixed4k,169571,50420,3.3631693772312574,737440,80,
case_036,2,ok,13.897146042,wcc_pack3,931510,466068,1.998656848356892,1152,2,
case_036,5,ok,11.723678541999998,wcc_pack3,931510,187182,4.976493466252097,4608,5,
case_045,2,ok,3.6395632090000003,wcc_pack3,125614,63059,1.99200748505368,0,2,
case_045,5,ok,3.8257995419999986,wcc_pack3,125614,26164,4.801024308209754,0,5,
case_064,2,ok,2.6363950000000003,aggr_ultrafine20+reassign1+reassign2,19116,15522,1.231542327019714,110658,29,
case_064,5,ok,3.5669450830000002,aggr_ultrafine20,19116,10281,1.8593522030930842,110722,31,
case_078,2,ok,2.9313791669999993,aggr_mixed4k,2296143,1080972,2.1241466013920807,15039360,8,
case_078,5,ok,3.5764915829999993,aggr_mid12,2296143,579524,3.962118911382445,15438720,24,
case_098,2,ok,4.3951195,wcc_pack3,177430,89756,1.9768037791345425,0,2,
case_098,5,ok,5.965288917000002,strong_b10,177430,58915,3.0116269201391836,1066460,197,
