case,cores,status,seconds,selected,single,makespan,speedup,added_copy,subgraphs,error
case_001,2,ok,1.3847219579620287,wcc_pack3,233110,116868,1.9946435294520313,1152,2,
case_001,3,ok,1.4896344159496948,wcc_pack3,233110,78545,2.9678528232223567,2304,3,
case_001,4,ok,2.409368499997072,wcc_pack3,233110,58984,3.952088702020887,3456,4,
case_001,5,ok,2.19806908298051,wcc_pack3,233110,47502,4.9073723211654245,4608,5,
case_002,2,ok,5.0899442919762805,strong_b10,261945,138738,1.8880551831509753,608256,17,
case_002,3,ok,6.942673125013243,strong_b10+reassign0.1,261945,95487,2.7432530082629047,608256,25,
case_002,4,ok,9.329487624985632,strong_compact12,261945,73504,3.5636836090552895,608256,44,
case_002,5,ok,9.525354749988765,strong_b10,261945,60471,4.331745795505284,608256,38,
case_004,2,ok,1.7766230829874985,wcc_pack3,392357,199074,1.9709103147573264,110592,2,
case_004,3,ok,1.8113408329663798,wcc_pack3,392357,134043,2.927098020784375,221184,3,
case_004,4,ok,3.173184000013862,wcc_pack3,392357,104188,3.765855952700887,331776,4,
case_004,5,ok,2.9372996249585412,wcc_pack3,392357,88341,4.441391879195391,442368,5,
case_005,2,ok,25.584789916989394,"aggr_fine15+reassign1+reassign2+merge(1,11)",95618,74247,1.2878365455843335,2137790,101,
case_005,3,ok,42.455269999976736,"aggr_dense6k+merge(134,143)+merge(59,75)",95618,62301,1.5347747227171313,2395112,208,
case_005,4,ok,47.95757779100677,aggr_fine15+reassign0.1,95618,59337,1.6114397424878237,2352772,164,
case_005,5,ok,63.58500604098663,"aggr_ultrafine20+reassign0.1+reassign2+merge(203,229)+merge(132,163)",95618,58697,1.6290100005110995,2478822,234,
case_006,2,ok,1.3811934580444358,aggr_fine15,82837,41200,2.010606796116505,181896,7,
case_006,3,ok,2.155196707986761,aggr_fine15,82837,30355,2.7289408664140997,208520,10,
case_006,4,ok,2.986272750014905,aggr_ultrafine20+reassign0.1,82837,24235,3.418073034866928,261132,17,
case_006,5,ok,3.1704162919777445,aggr_fine15,82837,24116,3.434939459280146,261132,16,
case_008,2,ok,2.2408661670051515,wcc_pack3,487605,244266,1.9962049568912579,0,2,
case_008,3,ok,2.767216125037521,wcc_pack3,487605,163359,2.984867684057811,0,3,
case_008,4,ok,4.761320499994326,wcc_pack3,487605,123060,3.962335446123842,0,4,
case_008,5,ok,4.086672583012842,wcc_pack3,487605,100603,4.846823653370178,0,5,
case_010,2,ok,1.302091667021159,corephase_sticky+reassign0.1,86969,44010,1.9761190638491253,463016,4,
case_010,3,ok,1.8743942080182023,wcc_pack3,86969,30856,2.8185442053409386,48384,3,
case_010,4,ok,3.0765121250296943,aggr_mixed4k,86969,25828,3.367237107015642,538760,17,
case_010,5,ok,2.9755935829598457,aggr_mid12,86969,24009,3.6223499521012954,555386,52,
case_011,2,ok,1.5722474160138518,wcc_pack3,184697,92646,1.9935777043801135,180224,2,
case_011,3,ok,3.816072957997676,"strong_long8+merge(1,9)+merge(7,14)",184697,66299,2.7858187906303264,1130496,22,
case_011,4,ok,4.5719914580113254,wcc_pack3,184697,46880,3.9397824232081913,540672,4,
case_011,5,ok,4.027147958986461,strong_compact12,184697,44642,4.137292236010931,1523712,36,
case_012,2,ok,2.436845666030422,wcc_pack3,59088,30094,1.9634478633614674,28800,2,
case_012,3,ok,3.453393333009444,aggr_ultrafine20,59088,20812,2.839131270420911,87944,13,
case_012,4,ok,5.780382000026293,aggr_fine15+reassign0.1,59088,16305,3.6239190432382706,87944,13,
case_012,5,ok,6.3462070830282755,wcc_pack3,59088,14225,4.153813708260105,49536,5,
case_013,2,ok,8.484545540995896,wcc_pack3,263949,132198,1.9966187083011846,8192,2,
case_013,3,ok,9.536794667015783,wcc_pack3,263949,88351,2.98750438591527,16384,3,
case_013,4,ok,12.019096124975476,wcc_pack3,263949,66982,3.9405959810098237,24576,4,
case_013,5,ok,12.735211415973026,wcc_pack3,263949,54363,4.855305998565201,32768,5,
case_015,2,ok,2.3817575839930214,aggr_b15+reassign0.1,177362,88023,2.0149506379014577,439296,6,
case_015,3,ok,4.24609341705218,wcc_pack3,177362,60841,2.915172334445522,306448,3,
case_015,4,ok,5.162525916995946,aggr_dense6k,177362,50599,3.505247139271527,1038104,25,
case_015,5,ok,6.2327042919932865,aggr_mixed4k,177362,42119,4.2109736698402145,823296,20,
case_017,2,ok,3.6014231250155717,aggr_b15+reassign0.1,162810,82664,1.969539339978709,410112,6,
case_017,3,ok,5.678456834051758,aggr_b15+reassign0.1,162810,55688,2.923610113489441,584064,9,
case_017,4,ok,7.841498917026911,wcc_pack3,162810,42384,3.841308040770102,260352,4,
case_017,5,ok,8.277417083038017,aggr_b15,162810,33981,4.791206850887261,556416,15,
case_018,2,ok,15.389376665989403,aggr_ultrafine20,1004367,500559,2.006490743348936,7277072,10,
case_018,3,ok,29.974440624995623,"aggr_fine15+merge(4,9)",1004367,338828,2.964238492686555,7969292,10,
case_018,4,ok,27.278124541975558,aggr_ultrafine20+reassign0.1,1004367,255049,3.937937415947524,9253904,18,
case_018,5,ok,32.64054762502201,wcc_pack3,1004367,200953,4.99801943738088,4878336,5,
case_019,2,ok,1.3785834590089507,strong_long8+reassign2,81144,42249,1.9206135056451041,204432,21,
case_019,3,ok,2.1780131669947878,aggr_b15+reassign0.1,81144,28503,2.8468582254499526,231600,19,
case_019,4,ok,2.200565084000118,aggr_dense6k,81144,21957,3.695586828801749,257092,26,
case_019,5,ok,2.4596184589900076,aggr_ultrafine20,81144,18531,4.378824672170957,194736,27,
case_022,2,ok,3.6843357080360875,wcc_pack3,56780,28415,1.9982403660038712,6912,2,
case_022,3,ok,5.24035829200875,wcc_pack3,56780,19197,2.9577538157003698,13824,3,
case_022,4,ok,7.140836541017052,wcc_pack3,56780,14654,3.874709976798144,13824,4,
case_022,5,ok,7.292640666011721,wcc_pack3,56780,11828,4.800473452823808,20736,5,
case_023,2,ok,3.2844652920030057,"aggr_ultrafine20+reassign0.1+merge(0,8)+merge(0,8)",122614,59452,2.0624032833209984,430668,10,
case_023,3,ok,3.558040624950081,aggr_fine15,122614,39682,3.0899148228415907,440752,11,
case_023,4,ok,4.70895354100503,aggr_fine15,122614,31062,3.94739553151761,441040,14,
case_023,5,ok,5.000805957999546,wcc_pack3,122614,25191,4.867373268230717,280992,5,
case_026,2,ok,1.4875765839824453,aggr_mid12,99203,49259,2.013906088227532,374376,13,
case_026,3,ok,2.5325255829957314,wcc_pack3,99203,41655,2.3815388308726444,95664,3,
case_026,4,ok,2.8957366670365445,wcc_active3,99203,41655,2.3815388308726444,95664,3,
case_026,5,ok,2.880267041036859,wcc_active3,99203,41655,2.3815388308726444,95664,3,
case_027,2,ok,5.210465624986682,aggr_b15,2363952,1118246,2.113982075500382,4792320,6,
case_027,3,ok,10.640204458031803,"aggr_ultrafine20+merge(5,17)",2363952,756202,3.126085358145046,5160960,23,
case_027,4,ok,8.491175833973102,wcc_pack3,2363952,559196,4.227412213249022,3317760,4,
case_027,5,ok,9.478115209029056,strong_b10+reassign0.1,2363952,471330,5.015492330214499,7495680,60,
case_029,2,ok,2.2068810000200756,wcc_pack3,37555,19740,1.9024822695035462,0,2,
case_029,3,ok,2.9427610419807024,wcc_pack3,37555,12743,2.9471082162756024,0,3,
case_029,4,ok,3.389058417000342,wcc_pack3,37555,11028,3.405422560754443,0,4,
case_029,5,ok,3.6167031670338474,wcc_pack3,37555,9383,4.002451241607162,0,5,
case_032,2,ok,1.886439291993156,aggr_mixed4k,41443,19564,2.118329584951953,37016,9,
case_032,3,ok,2.7905998330097646,aggr_b15,41443,13842,2.9940037566825604,30864,9,
case_032,4,ok,3.719438457977958,aggr_b15,41443,12296,3.37044567338972,24720,12,
case_032,5,ok,3.89241479098564,aggr_mixed4k,41443,10302,4.022811104639875,98388,22,
case_033,2,ok,37.875238250009716,"aggr_ultrafine20+merge(1,14)+merge(1,12)",1774196,880303,2.015437866280133,8669480,37,
case_033,3,ok,35.573152749973815,aggr_dense6k+reassign0.1,1774196,587700,3.0188803811468436,11693184,18,
case_033,4,ok,52.02621741598705,aggr_b15,1774196,447390,3.9656585976441137,10641272,44,
case_033,5,ok,53.744414583954494,aggr_b15+reassign0.1,1774196,357333,4.9651053778968075,11138936,47,
case_034,2,ok,25.75291916698916,aggr_dense6k,842996,397429,2.121123521434017,5720576,12,
case_034,3,ok,41.46570812497521,aggr_fine15,842996,269163,3.1319163480864756,6105600,9,
case_034,4,ok,51.21168966696132,aggr_fine15,842996,206156,4.089116979374842,5720576,12,
case_034,5,ok,55.0887979590334,aggr_ultrafine20+reassign0.1,842996,169763,4.965722801788376,5970984,25,
case_035,2,ok,23.607663625036366,wcc_pack3,169571,95406,1.7773620107750037,0,2,
case_035,3,ok,30.21065725001972,aggr_dense6k,169571,72630,2.3347239432741294,852090,82,
case_035,4,ok,35.47753245802596,aggr_fine15+reassign3,169571,56787,2.986088365294874,852226,76,
case_035,5,ok,36.52421204204438,aggr_mixed4k,169571,50420,3.3631693772312574,737440,80,
case_036,2,ok,12.16464100003941,wcc_pack3,931510,466068,1.998656848356892,1152,2,
case_036,3,ok,12.725453457969707,wcc_pack3,931510,311345,2.991890025534375,2304,3,
case_036,4,ok,13.82546550000552,wcc_pack3,931510,233584,3.987901568600589,3456,4,
case_036,5,ok,14.755935541004874,wcc_pack3,931510,187182,4.976493466252097,4608,5,
case_037,2,ok,2.223580125020817,wcc_pack3,210001,105374,1.992910964754114,204800,2,
case_037,3,ok,4.092465375026222,wcc_pack3,210001,74038,2.836394824279424,1064960,3,
case_037,4,ok,3.87595783296274,wcc_pack3,210001,53320,3.938503375843961,614400,4,
case_037,5,ok,5.035140042018611,wcc_pack3,210001,43800,4.794543378995434,1925120,5,
case_040,2,ok,15.6004769160063,aggr_fine15+reassign2,253454,141598,1.789954660376559,1618976,106,
case_040,3,ok,24.9744480419904,aggr_dense6k,253454,97965,2.5871893023018426,1799590,70,
case_040,4,ok,31.73430950002512,aggr_fine15+reassign0.1+reassign2,253454,81430,3.1125383765197103,1751040,148,
case_040,5,ok,30.605807167012244,aggr_fine15+reassign1,253454,71379,3.5508202692668713,1728204,159,
case_044,2,ok,4.474061625020113,strong_b10+reassign0.1,154407,91972,1.6788479102335494,2996768,84,
case_044,3,ok,7.330273292027414,strong_b10,154407,109879,1.4052457703473822,4857568,126,
case_044,4,ok,7.013246916991193,corephase_bal+reassign0.1,154407,113488,1.3605579444522768,4914912,8,
case_044,5,ok,6.616224625031464,wcc_active3,154407,123553,1.2497227910289512,5161216,3,
case_045,2,ok,3.381127458997071,wcc_pack3,125614,63059,1.99200748505368,0,2,
case_045,3,ok,5.025679667014629,wcc_pack3,125614,42601,2.94861622966597,0,3,
case_045,4,ok,5.166704417031724,wcc_pack3,125614,31878,3.940460505677897,0,4,
case_045,5,ok,5.313828499987721,wcc_pack3,125614,26164,4.801024308209754,0,5,
case_046,2,ok,2.2318122080178,aggr_mixed4k,276455,158876,1.7400677257735593,6512800,8,
case_046,3,ok,3.964897916011978,corephase_bal+reassign0.1,276455,140908,1.9619538989979277,4001568,6,
case_046,4,ok,4.423358540982008,wcc_pack3,276455,124612,2.218526305652746,4513952,4,
case_046,5,ok,4.441917292017024,wcc_active4,276455,124612,2.218526305652746,4513952,4,
case_048,2,ok,6.673166125023272,aggr_ultrafine20,222220,137338,1.6180518137733184,727982,53,
case_048,3,ok,13.830780707998201,aggr_fine15,222220,110758,2.0063562000036113,775600,153,
case_048,4,ok,17.22997729195049,aggr_fine15,222220,110842,2.0048357120946934,775796,156,
case_048,5,ok,17.846005208033603,aggr_mixed4k,222220,110840,2.004871887405269,776310,164,
case_049,2,ok,24.707960041007027,aggr_dense6k+reassign0.1+reassign1+reassign2,196276,120636,1.6270101793826055,1485218,125,
case_049,3,ok,40.84026529197581,aggr_dense6k+reassign1+reassign2+reassign3,196276,85788,2.2879190562782674,1500822,155,
case_049,4,ok,50.16398333298275,aggr_mixed4k,196276,70785,2.7728473546655366,1063298,277,
case_049,5,ok,49.459947582974564,aggr_mid12,196276,59804,3.2819878269012106,1059076,259,
case_051,2,ok,5.984985042014159,strong_b10,607628,393001,1.5461232923071442,9046310,312,
case_051,3,ok,10.180336291959975,strong_b10,607628,336412,1.8062019190754195,9046402,408,
case_051,4,ok,12.773024875030387,strong_b10+reassign0.1,607628,295141,2.0587719090197565,9046494,456,
case_051,5,ok,13.362907667004038,strong_long8,607628,259924,2.337714101044921,9046494,456,
case_052,2,ok,2.878490208997391,aggr_mixed4k,180301,90358,1.9954071581929658,559104,8,
case_052,3,ok,5.305791041988414,wcc_pack3,180301,63373,2.8450759787291116,181248,3,
case_052,4,ok,6.795290082984138,wcc_pack3,180301,47964,3.7590901509465433,259584,4,
case_052,5,ok,6.952339459036011,aggr_ultrafine20,180301,38150,4.72610747051114,694280,21,
case_055,2,ok,3.216359250014648,aggr_dense6k+reassign0.1,118835,54434,2.1831024727192565,216080,14,
case_055,3,ok,5.3608316669706255,aggr_mixed4k,118835,37502,3.1687643325689296,183300,13,
case_055,4,ok,5.745578416972421,aggr_b15,118835,28923,4.108667842201708,206336,12,
case_055,5,ok,7.407549249997828,aggr_mid12+reassign0.1,118835,25489,4.662207226646789,199692,14,
case_057,2,ok,1.9386889579473063,aggr_b15+reassign0.1,59726,30596,1.9520852399006405,0,6,
case_057,3,ok,3.5268360000336543,"aggr_mixed4k+merge(2,12)",59726,21046,2.837878931863537,42048,12,
case_057,4,ok,3.7002499169902876,aggr_b15,59726,16655,3.5860702491744223,42048,12,
case_057,5,ok,4.740593250025995,aggr_mid12,59726,13981,4.271940490665903,56392,14,
case_059,2,ok,13.085354458016809,wcc_pack3,829473,369318,2.2459587672412393,360448,2,
case_059,3,ok,20.835595833021216,strong_b10,829473,249885,3.319418932709046,4292608,18,
case_059,4,ok,19.81107208301546,wcc_pack3,829473,185216,4.478408992743607,1081344,4,
case_059,5,ok,29.224990707996767,wcc_pack3,829473,150782,5.501140719714555,4325376,5,
case_061,2,ok,3.2821948750060983,wcc_pack3,77191,39336,1.962350010168802,34560,2,
case_061,3,ok,6.1017022500163876,wcc_pack3,77191,28409,2.7171318948220633,43008,3,
case_061,4,ok,6.833788292016834,wcc_pack3,77191,22111,3.491067794310524,62208,4,
case_061,5,ok,6.676258625055198,aggr_mixed4k,77191,20122,3.836149488122453,262664,22,
case_064,2,ok,2.657596667006146,aggr_ultrafine20+reassign1+reassign2,19116,15522,1.231542327019714,110658,29,
case_064,3,ok,4.930572625016794,aggr_ultrafine20+reassign0.1+reassign1,19116,13828,1.3824124963841482,110722,31,
case_064,4,ok,5.459646666015033,aggr_ultrafine20+reassign1,19116,10280,1.8595330739299611,110722,31,
case_064,5,ok,5.607040375005454,aggr_ultrafine20,19116,10281,1.8593522030930842,110722,31,
case_065,2,ok,1.7503854159731418,wcc_pack3,53068,26928,1.970736779560309,13968,2,
case_065,3,ok,3.3490659589879215,wcc_pack3,53068,18135,2.926275158533223,27792,3,
case_065,4,ok,3.2952165420283563,wcc_pack3,53068,14463,3.6692249187582107,41616,4,
case_065,5,ok,3.591170832980424,wcc_pack3,53068,12169,4.3609170843947735,55584,5,
case_069,2,ok,3.7625995419803075,aggr_ultrafine20+reassign0.1+reassign2,25144,21541,1.1672624297850611,593930,46,
case_069,3,ok,7.173392583034001,aggr_dense6k+reassign0.1+reassign3,25144,17101,1.4703233729021694,545674,66,
case_069,4,ok,8.685944458993617,"aggr_fine15+reassign0.1+merge(43,49)",25144,16747,1.5014032364005494,538078,53,
case_069,5,ok,8.262439334008377,aggr_ultrafine20+reassign3,25144,16823,1.4946204600844082,604194,70,
case_070,2,ok,3.4131734159891494,wcc_pack3,117300,58425,2.0077021822849805,129536,2,
case_070,3,ok,5.804335292021278,aggr_b15+reassign0.1,117300,40130,2.923000249190132,814596,10,
case_070,4,ok,5.889175500022247,aggr_fine15,117300,32784,3.57796486090776,1103384,16,
case_070,5,ok,7.2656720409868285,wcc_pack3,117300,27847,4.212302941070852,462848,5,
case_071,2,ok,2.3624210419948213,aggr_fine15,18919,15676,1.2068767542740495,346412,33,
case_071,3,ok,4.456806542002596,aggr_dense6k,18919,13329,1.419386300547678,356420,49,
case_071,4,ok,5.008885957999155,aggr_fine15+reassign1,18919,11867,1.594252970422179,350264,43,
case_071,5,ok,5.7861033329973,aggr_dense6k,18919,10911,1.7339382274768582,357192,51,
case_074,2,ok,40.498214875056874,wcc_pack3,1682239,821906,2.0467535216922617,6832128,2,
case_074,3,ok,53.262973250006326,wcc_pack3,1682239,547475,3.072722955386091,7655424,3,
case_074,4,ok,47.245480332989246,aggr_ultrafine20,1682239,418701,4.017757301749936,12722224,22,
case_074,5,ok,65.9392381660291,wcc_pack3,1682239,343682,4.894754453244569,8499200,5,
case_078,2,ok,2.917308791016694,aggr_mixed4k,2296143,1080972,2.1241466013920807,15039360,8,
case_078,3,ok,6.525180917000398,"aggr_mid12+merge(7,15)+merge(7,22)",2296143,792615,2.896920951533847,15388800,22,
case_078,4,ok,4.369299957994372,aggr_mixed4k,2296143,619540,3.706206217516222,15039360,8,
case_078,5,ok,5.313537209003698,aggr_mid12,2296143,579524,3.962118911382445,15438720,24,
case_080,2,ok,5.790659540973138,wcc_pack3,292138,145926,2.0019598974822856,2191360,2,
case_080,3,ok,5.861698083986994,wcc_pack3,292138,100325,2.9119162721156244,3047424,3,
case_080,4,ok,6.519482749979943,wcc_active3,292138,100325,2.9119162721156244,3047424,3,
case_080,5,ok,7.023740958014969,wcc_active3,292138,100325,2.9119162721156244,3047424,3,
case_081,2,ok,24.5923286670004,wcc_pack3,151795,76860,1.9749544626593807,0,2,
case_081,3,ok,27.10942866600817,wcc_pack3,151795,51943,2.9223379473653814,0,3,
case_081,4,ok,24.175431707990356,wcc_pack3,151795,39588,3.834369000707285,0,4,
case_081,5,ok,28.27644666598644,wcc_pack3,151795,30943,4.905632937982743,0,5,
case_082,2,ok,29.475695041008294,aggr_mixed4k+reassign2,721041,410929,1.7546607808161507,3207626,191,
case_082,3,ok,41.96803533297498,aggr_mixed4k+reassign1+reassign2,721041,293406,2.457485531993211,3213042,245,
case_082,4,ok,50.61746849998599,aggr_mixed4k,721041,230548,3.1275092388569843,3238730,271,
case_082,5,ok,49.99283670895966,aggr_mixed4k+reassign0.1+reassign1,721041,218999,3.292439691505441,3236710,287,
case_083,2,ok,27.04423133301316,"aggr_b15+merge(24,30)+merge(46,52)",1057993,487930,2.16832947349005,6073824,52,
case_083,3,ok,28.602095625014044,strong_b10+reassign2+reassign3,1057993,352774,2.999067391587815,6969312,126,
case_083,4,ok,24.00467179203406,strong_b10+reassign0.1,1057993,309519,3.418184344095193,8830112,168,
case_083,5,ok,30.04418662498938,strong_long8,1057993,279691,3.7827209313134853,8830112,168,
case_088,2,ok,22.285434667021036,aggr_mixed4k+reassign2,243623,149006,1.6349878528381407,2138590,195,
case_088,3,ok,31.88720400002785,aggr_mixed4k+reassign0.1+reassign3,243623,114166,2.13393654853459,2138878,234,
case_088,4,ok,37.763853750017006,aggr_mixed4k,243623,90118,2.703377793559555,2138686,238,
case_088,5,ok,36.993907500000205,aggr_mixed4k+reassign0.1,243623,77110,3.1594216054986384,2139262,242,
case_090,2,ok,8.77644212503219,strong_b10+reassign0.1,1178363,528461,2.2298012530726012,7608576,144,
case_090,3,ok,11.793094334017951,strong_b10+reassign0.1+reassign1+reassign3,1178363,433583,2.717733398219026,11905536,216,
case_090,4,ok,14.616471667017322,strong_b10+reassign0.1,1178363,429097,2.746145976317709,16202496,288,
case_090,5,ok,13.904815874993801,strong_long8+reassign0.1+reassign1,1178363,402971,2.9241880929396906,16202496,288,
case_093,2,ok,2.0222087500151247,wcc_pack3,74205,37827,1.9616940280751844,8192,2,
case_093,3,ok,2.037619500013534,wcc_pack3,74205,25103,2.956021192686133,16384,3,
case_093,4,ok,2.2899557079654187,wcc_pack3,74205,19779,3.751706355225239,24576,4,
case_093,5,ok,2.427305167017039,wcc_pack3,74205,15876,4.674036281179139,32768,5,
case_094,2,ok,2.0214193330029957,aggr_fine15,94892,45446,2.0880165471108567,382768,8,
case_094,3,ok,3.1982782499981113,strong_long8,94892,31982,2.967043962228754,863152,34,
case_094,4,ok,2.667835667030886,aggr_fine15,94892,25762,3.6834096731620214,466000,14,
case_094,5,ok,3.0556375419837423,strong_b10,94892,23721,4.000337253910038,781616,42,
case_096,2,ok,3.456422624993138,aggr_mixed4k+reassign0.1,84194,43203,1.9487998518621392,504972,11,
case_096,3,ok,5.075215707998723,aggr_mixed4k,84194,30832,2.7307343020238712,756684,15,
case_096,4,ok,6.142687332991045,wcc_pack3,84194,26984,3.120145271271865,78336,4,
