case,makespan
case_001,233110
case_002,261945
case_004,392357
case_005,95618
case_006,82837
case_008,487605
case_010,86969
case_011,184697
case_012,59088
case_013,263949
case_015,177362
case_017,162810
case_018,1004367
case_019,81144
case_022,56780
case_023,122614
case_026,99203
case_027,2363952
case_029,37555
case_032,41443
case_033,1774196
case_034,842996
case_035,169571
case_036,931510
case_037,210001
case_040,253454
case_044,154407
case_045,125614
case_046,276455
case_048,222220
case_049,196276
case_051,607628
case_052,180301
case_055,118835
case_057,59726
case_059,829473
case_061,77191
case_064,19116
case_065,53068
case_069,25144
case_070,117300
case_071,18919
case_074,1682239
case_078,2296143
case_080,292138
case_081,151795
case_082,721041
case_083,1057993
case_088,243623
case_090,1178363
case_093,74205
case_094,94892
case_096,84194
case_098,177430
case_100,151223
