case,ops,edges,selected
case_001,1001,2402,1
case_002,2197,5392,1
case_003,13670,36295,1
case_004,1002,2670,1
case_005,4209,11187,1
case_006,851,1995,1
case_007,4998,13326,1
case_008,1404,3348,1
case_009,6058,15754,1
case_010,796,1899,1
case_011,880,2448,1
case_012,1304,3131,1
case_013,3202,8126,1
case_014,38666,108272,0
case_015,1290,3107,1
case_016,18008,43019,0
case_017,1758,4245,1
case_018,3285,8718,1
case_019,766,1841,1
case_020,7584,18048,1
case_021,4450,12820,1
case_022,1567,3720,1
case_023,1202,2869,1
case_024,5972,14255,1
case_025,23997,63990,0
case_026,769,1849,1
case_027,1800,5024,1
case_028,19944,51822,0
case_029,1113,2772,1
case_030,11248,30954,1
case_031,6805,18435,1
case_032,1035,2469,1
case_033,4069,11073,1
case_034,4545,11907,1
case_035,4237,10712,1
case_036,4001,9602,1
case_037,980,2740,1
case_038,6843,18941,1
case_039,5966,17182,1
case_040,3381,8621,1
case_041,18149,51024,0
case_042,5345,14855,1
case_043,9756,25867,1
case_044,1436,3686,1
case_045,1787,4253,1
case_046,1058,2708,1
case_047,13988,37206,1
case_048,1900,4961,1
case_049,4465,11684,1
case_050,4781,12462,1
case_051,1429,3398,1
case_052,1347,3272,1
case_053,12046,31833,1
case_054,16133,42855,0
case_055,1468,3467,1
case_056,7936,20894,1
case_057,1053,2563,1
case_058,17886,52347,0
case_059,3168,9088,1
case_060,6086,16435,1
case_061,1450,3505,1
case_062,23999,58906,0
case_063,8995,22078,1
case_064,972,2550,1
case_065,914,2164,1
case_066,6181,16324,1
case_067,8996,23246,1
case_068,5853,15148,1
case_069,1074,2844,1
case_070,1437,3424,1
case_071,781,2063,1
case_072,31387,88639,0
case_073,4964,12814,1
case_074,4269,11541,1
case_075,7684,20378,1
case_076,35076,99916,0
case_077,4872,12652,1
case_078,1094,2812,1
case_079,20130,58980,0
case_080,1395,3888,1
case_081,4505,11220,1
case_082,4209,11187,1
case_083,3956,10206,1
case_084,14001,33387,1
case_085,19993,53243,0
case_086,5372,14290,1
case_087,28666,77339,0
case_088,3577,9270,1
case_089,5254,13628,1
case_090,1744,4502,1
case_091,33497,96492,0
case_092,17942,46392,0
case_093,901,2285,1
case_094,791,1925,1
case_095,6006,14322,1
case_096,1362,3200,1
case_097,7488,21568,1
case_098,1553,3615,1
case_099,7054,19599,1
case_100,1654,4014,1
