case,cores,status,seconds,selected,single,makespan,speedup,added_copy,subgraphs,error
case_001,2,ok,1.201691500027664,wcc_pack3,233110,116868,1.9946435294520313,1152,2,
case_001,3,ok,1.2354879589984193,wcc_pack3,233110,78545,2.9678528232223567,2304,3,
case_001,4,ok,1.2354284999892116,wcc_pack3,233110,58984,3.952088702020887,3456,4,
case_001,5,ok,1.287966415984556,wcc_pack3,233110,47502,4.9073723211654245,4608,5,
case_002,2,ok,6.0452599579584785,strong_b10,261945,138738,1.8880551831509753,608256,17,
case_002,3,ok,6.638075666967779,strong_b10+reassign0.1,261945,95487,2.7432530082629047,608256,25,
case_002,4,ok,5.8832307499833405,strong_compact12,261945,73504,3.5636836090552895,608256,44,
case_002,5,ok,6.557261499983724,strong_b10,261945,60471,4.331745795505284,608256,38,
case_003,2,ok,127.22452524997061,aggr_mixed4k,602212,349644,1.72235759801398,7102146,250,
case_003,3,ok,170.0320157080423,aggr_mixed4k+reassign0.1+reassign3,602212,253818,2.3726134474308362,7521570,346,
case_003,4,ok,219.7595985410153,aggr_mixed4k,602212,207676,2.8997669446638032,7605160,406,
case_003,5,ok,261.1578979170299,aggr_mixed4k,602212,183112,3.288763161343877,7613396,462,
case_004,2,ok,2.334774833987467,wcc_pack3,392357,199074,1.9709103147573264,110592,2,
case_004,3,ok,2.124061750015244,wcc_pack3,392357,134043,2.927098020784375,221184,3,
case_004,4,ok,2.478207084001042,wcc_pack3,392357,104188,3.765855952700887,331776,4,
case_004,5,ok,2.414496292010881,wcc_pack3,392357,88341,4.441391879195391,442368,5,
case_005,2,ok,35.70189412496984,"aggr_fine15+reassign1+reassign2+merge(1,11)",95618,74247,1.2878365455843335,2137790,101,
case_005,3,ok,52.611874916998204,"aggr_dense6k+merge(134,143)+merge(59,75)",95618,62301,1.5347747227171313,2395112,208,
case_005,4,ok,47.79153225000482,aggr_fine15+reassign0.1,95618,59337,1.6114397424878237,2352772,164,
case_005,5,ok,58.84087941702455,"aggr_ultrafine20+reassign0.1+reassign2+merge(203,229)+merge(132,163)",95618,58697,1.6290100005110995,2478822,234,
case_006,2,ok,2.1860692919581197,aggr_fine15,82837,41200,2.010606796116505,181896,7,
case_006,3,ok,2.4153992499923334,aggr_fine15,82837,30355,2.7289408664140997,208520,10,
case_006,4,ok,2.45031712501077,aggr_ultrafine20+reassign0.1,82837,24235,3.418073034866928,261132,17,
case_006,5,ok,2.839360207959544,aggr_fine15,82837,24116,3.434939459280146,261132,16,
case_007,2,ok,36.78971020801691,wcc_pack3,1012562,507494,1.9952196479170197,27648,2,
case_007,3,ok,25.229700917028822,wcc_pack3,1012562,338094,2.994912657426633,55296,3,
case_007,4,ok,29.184317042003386,wcc_pack3,1012562,254398,3.980227831979811,82944,4,
case_007,5,ok,24.99852716701571,wcc_pack3,1012562,203834,4.967581463347626,110592,5,
case_008,2,ok,3.4408072090009227,wcc_pack3,487605,244266,1.9962049568912579,0,2,
case_008,3,ok,3.343041667016223,wcc_pack3,487605,163359,2.984867684057811,0,3,
case_008,4,ok,3.493752249982208,wcc_pack3,487605,123060,3.962335446123842,0,4,
case_008,5,ok,4.2771987080341205,wcc_pack3,487605,100603,4.846823653370178,0,5,
case_009,2,ok,45.54099991702242,aggr_dense6k,153261,88128,1.7390727124183007,731880,109,
case_009,3,ok,49.91003349999664,aggr_dense6k,153261,64735,2.367513709739708,732082,115,
case_009,4,ok,56.437787499977276,aggr_dense6k+reassign0.1+reassign1,153261,55814,2.745923961730032,731982,121,
case_009,5,ok,61.36290241597453,aggr_dense6k+reassign1,153261,47121,3.2524988858470745,731914,127,
case_010,2,ok,1.9595584589987993,corephase_sticky+reassign0.1,86969,44010,1.9761190638491253,463016,4,
case_010,3,ok,2.280915458977688,wcc_pack3,86969,30856,2.8185442053409386,48384,3,
case_010,4,ok,2.2335965000092983,aggr_mixed4k,86969,25828,3.367237107015642,538760,17,
case_010,5,ok,2.5714079999597743,aggr_mid12,86969,24009,3.6223499521012954,555386,52,
case_011,2,ok,2.305902208958287,wcc_pack3,184697,92646,1.9935777043801135,180224,2,
case_011,3,ok,4.238912499975413,"strong_long8+merge(1,9)+merge(7,14)",184697,66299,2.7858187906303264,1130496,22,
case_011,4,ok,2.6849710409878753,wcc_pack3,184697,46880,3.9397824232081913,540672,4,
case_011,5,ok,3.207347084011417,strong_compact12,184697,44642,4.137292236010931,1523712,36,
case_012,2,ok,3.876327959005721,wcc_pack3,59088,30094,1.9634478633614674,28800,2,
case_012,3,ok,4.044498250004835,aggr_ultrafine20,59088,20812,2.839131270420911,87944,13,
case_012,4,ok,4.229038082994521,aggr_fine15+reassign0.1,59088,16305,3.6239190432382706,87944,13,
case_012,5,ok,4.984283500001766,wcc_pack3,59088,14225,4.153813708260105,49536,5,
